2015-05-17 20:51:17,306 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:51:17,315 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:51:17,317 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:51:17,317 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:54:54,190 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:54:54,204 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:54:54,210 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:54:54,210 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:54:55,573 [Worker-357] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:54:55,579 [Worker-357] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:54:55,581 [Worker-357] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:54:55,582 [Worker-357] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:56:11,923 [Worker-326] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:56:11,931 [Worker-326] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:56:11,932 [Worker-326] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:56:11,933 [Worker-326] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:56:44,984 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:56:44,989 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:56:44,995 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:56:44,996 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:57:01,978 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:57:01,984 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
